,Company name,"Street, no., building etc, line 1",City,Country,"NACE Rev. 2
Core code (4 digits)","Operating
revenue
(Turnover)
m EUR
2017","Operating
revenue
(Turnover)
m EUR
2016","Operating
revenue
(Turnover)
m EUR
2015","Operating
revenue
(Turnover)
m EUR
2014","Operating
revenue
(Turnover)
m EUR
2013","Operating
revenue
(Turnover)
m EUR
2012","Operating
revenue
(Turnover)
m EUR
2011","Operating
revenue
(Turnover)
m EUR
2010","Operating
revenue
(Turnover)
m EUR
2009","Operating
revenue
(Turnover)
m EUR
2008","Number of employees
2017","Number of employees
2016","Number of employees
2015","Number of employees
2014","Number of employees
2013","Number of employees
2012","Number of employees
2011","Number of employees
2010","Number of employees
2009","Number of employees
2008"
171.,A/S BACHMANNS TEGLVAERK,AMTSVEJEN 23,SOENDERBORG,Denmark,2332,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,18,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
201.,A/S CARL MATZENS TEGLVAERKER,HAVNEVEJ 44,EGERNSUND,Denmark,2332,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,13,8,8,7,n.a.,n.a.,n.a.,n.a.,n.a.
8.,A/S DANSK SHELL,EGESKOVVEJ 265,FREDERICIA,Denmark,1920,n.a.,"1,158","1,721","2,475","2,579","2,822",n.a.,n.a.,n.a.,n.a.,n.a.,289,403,415,422,419,n.a.,n.a.,n.a.,n.a.
197.,A/S GRAASTEN TEGLVAERK,TEGLVAERKSVEJ 14,GRAASTEN,Denmark,2332,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,19,19,15,14,n.a.,n.a.,n.a.,n.a.,n.a.
120.,A/S KNUD JEPSEN,SKANDERBORGVEJ 193,HINNERUP,Denmark,0119,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,128,131,124,113,117,n.a.,n.a.,n.a.,n.a.,n.a.
184.,AABENRAA - ROEDEKRO FJERNVARME,EGELUND 60,AABENRAA,Denmark,3530,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,35,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
30.,AAK DENMARK A/S,SLIPVEJ 4,AARHUS C,Denmark,1041,n.a.,211,191,209,181,209,n.a.,n.a.,n.a.,n.a.,n.a.,207,201,205,244,268,n.a.,n.a.,n.a.,n.a.
10.,AALBORG PORTLAND HOLDING A/S,ROERDALSVEJ 44,AALBORG OEST,Denmark,6420,n.a.,950,898,880,686,582,n.a.,n.a.,n.a.,n.a.,n.a.,"2,991","2,605","2,627","2,650","1,531",n.a.,n.a.,n.a.,n.a.
218.,AARHUS KOMMUNE,RAADHUSPLADSEN 2,AARHUS C,Denmark,8411,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"1,750",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
217.,AARS FJERNVARME AMBA,DYBVAD MOELLE VEJ 1,AARS,Denmark,3530,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,35,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
148.,AFFALDSSELSKABET VENDSYSSEL VEST I/S,POSTBOKS 152,HJOERRING,Denmark,3821,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,150,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
62.,AIR ALSIE A/S,SOENDERBORG LUFTHAVN,SOENDERBORG,Denmark,5110,55,56,51,52,45,n.a.,n.a.,n.a.,n.a.,n.a.,141,138,142,142,112,n.a.,n.a.,n.a.,n.a.,n.a.
32.,AIR GREENLAND A/S,B - 1842,NUUSSUAQ,Greenland (Denmark),5110,n.a.,176,165,158,158,156,n.a.,n.a.,n.a.,n.a.,n.a.,653,652,655,661,651,n.a.,n.a.,n.a.,n.a.
61.,AKZO NOBEL SALT A/S,HADSUNDVEJ 17,MARIAGER,Denmark,0893,n.a.,61,61,58,60,61,n.a.,n.a.,n.a.,n.a.,n.a.,140,144,151,157,157,n.a.,n.a.,n.a.,n.a.
238.,ALBERTSLUND KOMMUNE,NORDMARKS ALLE 1,ALBERTSLUND,Denmark,8411,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"1,750",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
140.,ALFRED PEDERSEN & SOEN APS,ASSENSVEJ 217,ODENSE SV,Denmark,0113,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,117,85,58,59,n.a.,n.a.,n.a.,n.a.,n.a.
109.,ALIGAP A/S,HARBOUR HOUSE,KOEBENHAVN OE,Denmark,7735,n.a.,n.a.,n.a.,2,2,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0,n.a.,n.a.,n.a.,n.a.,n.a.
18.,ALUMECO A/S,NAESBYVEJ 26,ODENSE C,Denmark,4672,456,396,370,326,301,n.a.,n.a.,n.a.,n.a.,n.a.,821,683,620,545,673,n.a.,n.a.,n.a.,n.a.,n.a.
71.,ANDELS-KARTOFFELMELSFABRIKKEN SOENDERJYLLAND,TOENDERVEJ 3,TOFTLUND,Denmark,1062,36,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,31,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
208.,ANDELSSELSKABET MOELHOLM VARMEVAERK,MOELHOLM LANDEVEJ 14,VEJLE,Denmark,3530,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
123.,ANDELSSELSKABET OKSBOEL VARMEVAERK,INDUSTRIVEJ 10,OKSBOEL,Denmark,3530,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
53.,ARDAGH GLASS HOLMEGAARD A/S,GLASVAERKSVEJ 52,HOLMEGAARD,Denmark,2313,n.a.,80,76,79,80,77,n.a.,n.a.,n.a.,n.a.,n.a.,320,323,333,333,342,n.a.,n.a.,n.a.,n.a.
125.,ARGO I/S,HAANDVAERKERVEJ 70,ROSKILDE,Denmark,3821,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,150,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
26.,ARKIL A/S,SOENDERGAARD ALLE 4,VOJENS,Denmark,4211,n.a.,246,291,249,250,270,n.a.,n.a.,n.a.,n.a.,n.a.,"1,107","1,236","1,082","1,120","1,164",n.a.,n.a.,n.a.,n.a.
79.,ARLA FOODS ENERGY A/S,SOENDERHOEJ 14,VIBY J,Denmark,3511,n.a.,27,20,19,21,20,n.a.,n.a.,n.a.,n.a.,n.a.,0,0,0,0,0,n.a.,n.a.,n.a.,n.a.
228.,ASSENS FJERNVARME A.M.B.A.,STEJLEBJERGVEJ 4,ASSENS,Denmark,3530,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,15,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
195.,AULUM FJERNVARME AMBA,RUGBJERGVEJ 3,AULUM,Denmark,3530,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
128.,AVEDOERE FJERNVARME,EBO CONSULT,HVIDOVRE,Denmark,3530,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
165.,BGR I/S,AXZON A/S,HERNING,Denmark,5110,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
189.,BILLUND VARMEVAERK,MOELLEVEJ 9,BILLUND,Denmark,3530,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,7,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
34.,BIOGEN (DENMARK) MANUFACTURING APS,BIOGEN ALLE 1,HILLEROED,Denmark,8292,n.a.,175,168,155,141,89,n.a.,n.a.,n.a.,n.a.,n.a.,596,608,552,483,375,n.a.,n.a.,n.a.,n.a.
236.,BOGENSE FORSYNINGSSELSKAB,FYNSVEJ 5,BOGENSE,Denmark,3530,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,7,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
152.,BORDING KRAFT-VARMEVAERK,JOERGEN MOSEGAARD,IKAST,Denmark,3530,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
92.,BORNHOLMS EL-PRODUKTION A/S,SKANSEVEJ 2,ROENNE,Denmark,3511,n.a.,11,n.a.,n.a.,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,18,43,44,44,45,n.a.,n.a.,n.a.,n.a.
108.,BRAEDSTRUP TOTALENERGIANLAEG A/S,FJERNVARMEVEJ 2,BRAEDSTRUP,Denmark,3511,n.a.,3,3,4,3,3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2,2,3,n.a.,n.a.,n.a.,n.a.
229.,BRAMMING FJERNVARME AMBA,GROENNINGEN 7,BRAMMING,Denmark,3530,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
223.,BRANDE FJERNVARME A.M.B.A.,PRAESTEVAENGET 11,BRANDE,Denmark,3530,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
225.,BROAGER FJERNVARMESELSKAB AMBA,OESTERGADE 21,BROAGER,Denmark,3530,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
23.,BRODRENE HARTMANN A/S,ORNEGARDSVEJ 18,GENTOFTE,Denmark,1721,n.a.,282,287,218,212,207,200,198,185,204,n.a.,"1,992","2,070","1,461","1,487","1,506","1,489","1,543","1,553","1,629"
175.,BROENDBY FJERNVARME A.M.B.A.,KIRKEBJERG ALLE 92 A,BROENDBY,Denmark,3530,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,15,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
94.,BROENDERSLEV VARME A/S,VIRKSOMHEDSVEJ 20,BROENDERSLEV,Denmark,3530,n.a.,11,12,12,14,13,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
127.,BROERUP FJERNVARME A M B A,VANDVAERKSVEJ 5,BROERUP,Denmark,3530,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
192.,BROVST FJERNVARME ANDELSSELSKAB,BOEGE BAKKER 3,BROVST,Denmark,3530,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
15.,CARLSBERG DANMARK A/S,VESTERFAELLEDVEJ 6,KOEBENHAVN V,Denmark,4634,n.a.,590,602,661,616,615,n.a.,n.a.,n.a.,n.a.,n.a.,521,545,"1,653","1,560","1,643",n.a.,n.a.,n.a.,n.a.
33.,CARLSBERG SUPPLY COMPANY DANMARK A/S,VESTERFAELLEDVEJ 6,KOEBENHAVN V,Denmark,1105,n.a.,175,247,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"1,060","1,070",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
