,Company name,"Street, no., building etc, line 1",City,Country,"NACE Rev. 2
Core code (4 digits)","Operating
revenue
(Turnover)
m EUR
2017","Operating
revenue
(Turnover)
m EUR
2016","Operating
revenue
(Turnover)
m EUR
2015","Operating
revenue
(Turnover)
m EUR
2014","Operating
revenue
(Turnover)
m EUR
2013","Operating
revenue
(Turnover)
m EUR
2012","Operating
revenue
(Turnover)
m EUR
2011","Operating
revenue
(Turnover)
m EUR
2010","Operating
revenue
(Turnover)
m EUR
2009","Operating
revenue
(Turnover)
m EUR
2008","Number of employees
2017","Number of employees
2016","Number of employees
2015","Number of employees
2014","Number of employees
2013","Number of employees
2012","Number of employees
2011","Number of employees
2010","Number of employees
2009","Number of employees
2008"
,3555 PARTNERSHIP,8402 NELMS ST,HOUSTON,United States of America,5110,3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
242,3CB SAS,2 B RUE LOUIS ARMAND,PARIS,France,3511,n.a.,73,28,28,33,37,58,56,109,70,n.a.,30,33,32,32,n.a.,n.a.,n.a.,2,n.a.
68,3M FRANCE,BOULEVARD DE L OISE,CERGY,France,2229,n.a.,742,720,764,767,739,726,613,579,666,n.a.,"1,494","1,589","1,640",n.a.,n.a.,"1,723","1,443",n.a.,n.a.
12,ACCOR SA,"82, RUE HENRI FARMAN",ISSY-LES-MOULINEAUX,France,5510,n.a.,"5,710","5,581","5,454","5,494","5,649","6,100","7,017","5,490","7,722",n.a.,"150,499","145,560","141,243","136,791","133,886","144,893","143,939","144,421","158,162"
,ACOME SOCIETE COOPERATIVE ET PARTICIPATIVE SOCIETE ANONYME COOPERATIVE DE PRODUCTION A CAPITAL VARIABLE,52 RUE DU MONTPARNASSE,PARIS,France,2732,n.a.,459,435,412,414,397,433,377,279,368,n.a.,"1,692",n.a.,"1,446","1,373",n.a.,"1,429",n.a.,n.a.,n.a.
481,ACTIFLY,Credit needed,Credit needed,Credit needed,Credit needed,n.a.,Credit needed,n.a.,Credit needed,Credit needed,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
,ADAMS OFFICE LLC,88 OLD ROXBURY RD,ROXBURY,United States of America,7490,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
,ADISSEO FRANCE SAS,ANTONY PARC 2,ANTONY,France,2014,n.a.,"1,322","1,578","1,234","1,137","1,258","1,233","1,150","1,046","1,063",n.a.,"1,052","1,029","1,017","1,025","1,013",995,958,n.a.,924
,AERO RIO TAXI AEREO LTDA, AV VINTE DE JANEIRO SETOR NORTE PARALELO AO SISTEMA 10-28 LOTE H-5,RIO DE JANEIRO,Brazil,5110,n.a.,4,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,76,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
,AEROPORT MARSEILLE PROVENCE,AEROPORT DE MARSEILLE PROVENCE,MARIGNANE,France,5223,n.a.,136,131,130,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,377,372,367,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
163,AEROPORTS DE LYON,AERP LYON ST EXUPERY LYON ST  AEROPORT,COLOMBIER SAUGNIEU,France,5223,n.a.,n.a.,167,164,163,159,152,n.a.,n.a.,n.a.,n.a.,n.a.,493,500,498,496,501,n.a.,n.a.,n.a.
20,AEROPORTS DE PARIS SA,"1, RUE DE FRANCE",PARIS,France,5223,n.a.,"3,009","2,953","2,798","2,766","2,672","2,563","2,608","2,643","2,540",n.a.,"8,947","9,008","8,966","9,026","9,035","9,092","9,550","12,096","11,789"
,AFRIQIYAH AIRWAYS,"273, WAHA BUILDING OMAR AL MOKHTAR STREET",TRIPOLI,Libya,5110,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"1,300",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
154,AGC GLASS FRANCE,100 RUE GAMBETTA,BOUSSOIS,France,2311,n.a.,n.a.,191,182,200,193,211,144,130,205,n.a.,n.a.,547,563,622,622,616,616,599,657
,AGC INTERPANE GLASS FRANCE,PARC D ACTIVITES FAREBERSVILLER,SEINGBOUSE,France,2311,n.a.,83,77,83,n.a.,89,76,68,55,69,n.a.,190,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
,AGRALIA,ROUTE DE CASTETS,ST PAUL LES DAX,France,4621,n.a.,161,169,149,191,183,176,106,115,123,n.a.,130,133,137,134,144,136,128,132,134
482,AHLSTROM CHANTRAINE,201 RUE CARNOT,FONTENAY SOUS BOIS,France,7010,n.a.,n.a.,n.a.,n.a.,0,1,0,2,2,22,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,10,n.a.
219,AHLSTROM MUNKSJO STENAY,CHEMIN DE LA GARE,STENAY,France,1712,n.a.,93,96,99,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,216,211,198,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
172,AHLSTROM-MUNKSJO ARCHES,48 RUE DE REMIREMONT,ARCHES,France,1712,n.a.,155,158,162,145,139,148,147,112,139,n.a.,453,n.a.,474,n.a.,494,n.a.,n.a.,503,477
119,AIGLE AZUR,ZONE ORLY TECH,PARAY VIEILLE POSTE,France,5110,n.a.,n.a.,295,317,349,346,336,305,306,303,n.a.,n.a.,"1,141","1,139","1,243","1,189",n.a.,895,768,737
449,AIR ALGERIE,2 PLACE DE L'INDEPENDANCE,DAKAR,Senegal,5110,n.a.,n.a.,n.a.,3,3,2,1,1,n.a.,n.a.,n.a.,n.a.,n.a.,0,0,4,0,0,n.a.,n.a.
462,AIR ARABIA MAROC,"4 RUE CARTHAGE, QUARTIER LES TRIS",CASABLANCA,Morocco,5110,n.a.,n.a.,2,95,94,86,74,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
,AIR AUSTRAL,GILLOT,STE MARIE,Reunion (France),5110,n.a.,n.a.,n.a.,n.a.,n.a.,379,n.a.,403,345,298,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,720
,AIR CAIRO,SAYED ZAKARIA 20,CAIRO,Egypt,5223,n.a.,n.a.,64,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,300,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
,AIR CARAIBES,PARC D ACTIVITES DE PROVIDENCE,LES ABYMES,Guadeloupe (France),5110,n.a.,389,384,361,362,344,301,279,255,257,n.a.,375,367,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
157,AIR CORSICA,CAMPO DELL ORO,AJACCIO,France,5110,n.a.,192,190,185,182,174,186,174,166,183,n.a.,672,657,698,28,n.a.,669,665,n.a.,673
,AIR FLEET OPERATIONS LIMITED,"INTERAVIA OFFICE 317, HANGAR 1",FARNBOROUGH,United Kingdom,5110,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
